Date,Open,High,Low,Close,Adj Close,Volume
2014-04-30,73.120003,73.180000,72.440002,72.720001,56.358982,8734100
2014-05-01,72.440002,73.279999,72.440002,73.089996,56.645733,7016700
2014-05-02,72.860001,73.940002,72.430000,73.860001,57.242489,6912000
2014-05-05,73.750000,75.699997,73.339996,74.980003,58.110516,6211400
2014-05-06,74.900002,74.989998,74.309998,74.440002,57.692009,4329800
2014-05-07,74.809998,76.000000,74.379997,75.900002,58.823498,5480200
2014-05-08,75.730003,76.230003,75.370003,75.860001,58.792526,6199400
2014-05-09,75.779999,76.440002,75.410004,76.279999,59.118038,4212500
2014-05-12,76.500000,77.129997,76.419998,76.820000,59.536510,4334100
2014-05-13,76.800003,77.000000,76.419998,76.550003,59.327271,3476700
2014-05-14,76.160004,76.480003,75.900002,76.000000,58.900993,2814000
2014-05-15,75.970001,76.000000,74.739998,75.559998,58.560028,3799900
2014-05-16,75.559998,76.680000,75.470001,76.570000,59.342773,5378500
2014-05-19,76.269997,76.690002,76.040001,76.269997,59.110260,4314500
2014-05-20,76.269997,76.529999,75.809998,75.930000,58.846764,2931700
2014-05-21,76.309998,76.800003,76.099998,76.699997,59.443523,3370000
2014-05-22,76.639999,77.370003,76.529999,77.209999,59.838779,3546400
2014-05-23,77.330002,77.410004,76.989998,77.120003,59.769032,2494100
2014-05-27,77.300003,77.330002,77.000000,77.169998,59.807793,2747300
2014-05-28,77.230003,77.750000,77.199997,77.250000,59.869778,3744700
2014-05-29,77.510002,77.860001,77.070000,77.660004,60.187542,3321400
2014-05-30,77.800003,78.489998,77.680000,78.320000,60.699032,5286500
2014-06-02,78.360001,78.599998,78.059998,78.300003,60.683559,2151100
2014-06-03,78.250000,78.480003,77.680000,77.709999,60.226288,2946200
2014-06-04,77.790001,78.230003,77.370003,78.160004,60.575043,2891900
2014-06-05,77.889999,78.860001,77.669998,78.620003,60.931572,3309800
2014-06-06,78.839996,79.430000,78.660004,78.919998,61.164066,2978500
2014-06-09,78.820000,78.849998,78.370003,78.550003,60.877300,2890000
2014-06-10,78.430000,78.459999,77.800003,78.019997,60.466553,2704800
2014-06-11,77.739998,78.000000,77.269997,77.320000,59.924034,3125500
2014-06-12,77.139999,77.250000,75.820000,75.980003,58.885532,3777700
2014-06-13,76.269997,76.339996,75.370003,75.860001,58.792526,3107200
2014-06-16,75.750000,76.360001,75.580002,76.139999,59.009502,3992800
2014-06-17,76.089996,76.480003,75.910004,76.199997,59.056034,2780300
2014-06-18,76.870003,77.389999,76.120003,77.360001,59.955032,3481600
2014-06-19,77.470001,77.739998,77.320000,77.449997,60.024773,4535000
2014-06-20,77.730003,77.879997,76.720001,76.790001,59.513283,6127200
2014-06-23,76.769997,76.779999,76.000000,76.320000,59.149036,3573100
2014-06-24,75.709999,76.239998,74.639999,75.480003,58.498013,5865300
2014-06-25,75.559998,75.790001,75.070000,75.459999,58.482517,4240500
2014-06-26,75.470001,76.059998,75.110001,75.540001,58.544533,4008400
2014-06-27,75.449997,75.779999,75.190002,75.720001,58.684013,7274100
2014-06-30,75.739998,76.139999,75.209999,75.370003,58.412766,3982700
2014-07-01,75.889999,76.330002,75.419998,76.040001,58.932022,3361300
2014-07-02,75.989998,76.730003,75.750000,76.250000,59.094780,2759100
2014-07-03,76.419998,76.930000,76.309998,76.830002,59.544289,2040800
2014-07-07,76.610001,76.989998,76.480003,76.669998,59.420277,2439600
2014-07-08,76.580002,76.660004,76.180000,76.529999,59.311779,3318100
2014-07-09,76.849998,76.959999,76.250000,76.839996,59.552036,3127300
2014-07-10,76.239998,76.930000,76.040001,76.610001,59.373779,2911700
2014-07-11,76.550003,77.029999,76.300003,76.900002,59.598511,2269000
2014-07-14,77.129997,77.540001,77.099998,77.290001,59.900768,2272700
2014-07-15,77.209999,77.650002,76.919998,77.410004,59.993797,3502300
2014-07-16,77.690002,77.849998,76.900002,77.029999,59.699295,2796300
2014-07-17,76.620003,77.010002,76.089996,76.110001,59.197598,2418500
2014-07-18,76.320000,77.519997,76.239998,77.470001,60.255417,3247700
2014-07-21,76.989998,77.290001,76.550003,77.040001,59.920952,3152200
2014-07-22,77.110001,78.050003,77.019997,77.870003,60.566505,2697100
2014-07-23,77.820000,78.190002,77.570000,78.129997,60.768742,2314500
2014-07-24,78.339996,79.010002,78.160004,78.889999,61.359886,3798100
2014-07-25,78.750000,79.209999,78.610001,79.120003,61.538776,3295000
2014-07-28,79.000000,79.150002,78.190002,78.379997,60.963196,4278500
2014-07-29,78.489998,78.639999,77.809998,77.809998,60.519848,3372500
2014-07-30,78.000000,78.199997,77.430000,77.739998,60.465393,4014400
2014-07-31,77.309998,77.739998,76.360001,76.360001,59.392086,4385900
2014-08-01,76.199997,77.089996,76.199997,76.489998,59.493168,4483000
2014-08-04,76.519997,77.480003,76.500000,77.370003,60.177601,4396200
2014-08-05,78.010002,78.959999,76.169998,77.269997,60.099842,6797600
2014-08-06,74.720001,77.430000,74.690002,77.029999,59.913185,11306300
2014-08-07,77.500000,77.629997,75.629997,76.110001,59.197598,5665500
2014-08-08,76.250000,77.919998,76.180000,77.809998,60.519848,4574600
2014-08-11,78.019997,78.690002,77.949997,78.360001,60.947613,3248700
2014-08-12,78.209999,78.839996,78.120003,78.669998,61.188740,2425000
2014-08-13,78.930000,79.150002,78.440002,78.910004,61.375423,3448300
2014-08-14,79.059998,79.339996,78.889999,79.300003,61.678764,2696200
2014-08-15,79.300003,79.500000,78.440002,78.910004,61.375423,3308500
2014-08-18,79.160004,79.430000,78.900002,79.150002,61.562092,2205900
2014-08-19,79.300003,79.540001,78.970001,79.529999,61.857639,2251800
2014-08-20,79.440002,79.760002,79.169998,79.610001,61.919876,2584500
2014-08-21,79.790001,79.820000,78.930000,78.980003,61.429882,2597400
2014-08-22,78.910004,79.599998,78.910004,79.239998,61.632072,3502200
2014-08-25,79.440002,79.769997,79.110001,79.209999,61.608772,2500700
